node	tissue	leaves	parent_node	parent_tissue	migration_event
18041	LGR	True	5599	LGR	False
18091	LGR	True	6339	LGR	False
18297	LGR	True	6429	LGR	False
18465	HMR	True	16128	HMR	False
18470	LGR	True	11625	LGR	False
18634	HMR	True	16136	HMR	False
18666	LGR	True	16378	LGR	False
18676	LGR	True	12037	LGR	False
19069	LGR	True	12611	LGR	False
19121	LGR	True	15832	LGR	False
19433	HMR	True	16730	HMR	False
19579	HMR	True	19041	HMR	False
19920	LGR	True	9670	LGR	False
19957	HMR	True	2987	HMR	False
