output_name,mut_rate,num_mut_leaves,sample_size,freq_mut_outcome
run1180,0.275,99,100,0.99
run1181,0.275,87,100,0.87
run1182,0.275,80,100,0.8
run1183,0.275,68,100,0.68
run1184,0.275,74,100,0.74
run1185,0.275,100,100,1.0
run1186,0.275,75,100,0.75
run1187,0.275,88,100,0.88
run1188,0.275,100,100,1.0
run1189,0.275,100,100,1.0
run118,0.025,47,100,0.47
run1190,0.275,94,100,0.94
run1191,0.275,77,100,0.77
run1192,0.275,98,100,0.98
run1193,0.275,95,100,0.95
run1194,0.275,100,100,1.0
run1195,0.275,95,100,0.95
run1196,0.275,92,100,0.92
run1197,0.275,74,100,0.74
run1198,0.275,95,100,0.95
run1199,0.275,78,100,0.78
run119,0.025,98,100,0.98
run11,0.01,0,100,0.0
run1200,0.3,100,100,1.0
run1201,0.3,100,100,1.0
run1202,0.3,94,100,0.94
run1203,0.3,97,100,0.97
run1204,0.3,100,100,1.0
run1205,0.3,100,100,1.0
run1206,0.3,100,100,1.0
run1207,0.3,80,100,0.8
run1208,0.3,100,100,1.0
run1209,0.3,69,100,0.69
run120,0.025,9,100,0.09
run1210,0.3,100,100,1.0
run1211,0.3,97,100,0.97
run1212,0.3,100,100,1.0
run1213,0.3,100,100,1.0
run1214,0.3,100,100,1.0
run1215,0.3,100,100,1.0
run1216,0.3,79,100,0.79
run1217,0.3,92,100,0.92
run1218,0.3,98,100,0.98
run1219,0.3,70,100,0.7
run121,0.025,7,100,0.07
run1220,0.3,91,100,0.91
run1221,0.3,86,100,0.86
run1222,0.3,100,100,1.0
run1223,0.3,100,100,1.0
run1224,0.3,100,100,1.0
run1225,0.3,94,100,0.94
run1226,0.3,89,100,0.89
run1227,0.3,87,100,0.87
run1228,0.3,100,100,1.0
run1229,0.3,100,100,1.0
run122,0.025,15,100,0.15
run1230,0.3,99,100,0.99
run1231,0.3,80,100,0.8
run1232,0.3,93,100,0.93
run1233,0.3,87,100,0.87
run1234,0.3,87,100,0.87
run1235,0.3,100,100,1.0
run1236,0.3,93,100,0.93
run1237,0.3,96,100,0.96
run1238,0.3,97,100,0.97
run1239,0.3,62,100,0.62
run123,0.025,11,100,0.11
run1240,0.3,83,100,0.83
run1241,0.3,100,100,1.0
run1242,0.3,72,100,0.72
run1243,0.3,87,100,0.87
run1244,0.3,99,100,0.99
run1245,0.3,94,100,0.94
run1246,0.3,85,100,0.85
run1247,0.3,100,100,1.0
run1248,0.3,100,100,1.0
run1249,0.3,100,100,1.0
run124,0.025,2,100,0.02
run1250,0.3,100,100,1.0
run1251,0.3,80,100,0.8
run1252,0.3,100,100,1.0
run1253,0.3,98,100,0.98
run1254,0.3,80,100,0.8
run1255,0.3,90,100,0.9
run1256,0.3,93,100,0.93
run1257,0.3,85,100,0.85
run1258,0.3,90,100,0.9
run1259,0.3,71,100,0.71
run125,0.025,47,100,0.47
run1260,0.3,100,100,1.0
run1261,0.3,100,100,1.0
run1262,0.3,89,100,0.89
run1263,0.3,94,100,0.94
run1264,0.3,87,100,0.87
run1265,0.3,100,100,1.0
run1266,0.3,100,100,1.0
run1267,0.3,94,100,0.94
run1268,0.3,87,100,0.87
run1269,0.3,89,100,0.89
run126,0.025,100,100,1.0
run1270,0.3,70,100,0.7
run1271,0.3,60,100,0.6
run1272,0.3,100,100,1.0
run1273,0.3,90,100,0.9
run1274,0.3,100,100,1.0
run1275,0.3,100,100,1.0
run1276,0.3,96,100,0.96
run1277,0.3,100,100,1.0
run1278,0.3,99,100,0.99
run1279,0.3,92,100,0.92
run127,0.025,26,100,0.26
run1280,0.3,90,100,0.9
run1281,0.3,100,100,1.0
run1282,0.3,93,100,0.93
run1283,0.3,100,100,1.0
run1284,0.3,86,100,0.86
run1285,0.3,85,100,0.85
run1286,0.3,92,100,0.92
run1287,0.3,95,100,0.95
run1288,0.3,100,100,1.0
run1289,0.3,99,100,0.99
run128,0.025,34,100,0.34
run1290,0.3,98,100,0.98
run1291,0.3,66,100,0.66
run1292,0.3,90,100,0.9
run1293,0.3,84,100,0.84
run1294,0.3,86,100,0.86
run1295,0.3,100,100,1.0
run1296,0.3,100,100,1.0
run1297,0.3,92,100,0.92
run1298,0.3,100,100,1.0
run1299,0.3,100,100,1.0
run129,0.025,11,100,0.11
run12,0.01,6,100,0.06
run1300,0.325,100,100,1.0
run1301,0.325,86,100,0.86
run1302,0.325,83,100,0.83
run1303,0.325,95,100,0.95
run1304,0.325,72,100,0.72
run1305,0.325,100,100,1.0
run1306,0.325,66,100,0.66
run1307,0.325,86,100,0.86
run1308,0.325,87,100,0.87
run1309,0.325,88,100,0.88
run130,0.025,16,100,0.16
run1310,0.325,100,100,1.0
run1311,0.325,72,100,0.72
