mutation_rate,sample_size,migration_matrix
0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv
0.2528 0 0.2528 0 0.2528 0 0.2528 0 0.2528 0,,
1 0.0528 0.0469 0.04106 0.0352 0.02933 0.0235 0.0176 0.0118 0.0059,,
0.8 0.0928 0.0825 0.0722 0.0619 0.0516 0.0413 0.031 0.0207 0.0104,,
0.6 0.1328 0.1181 0.1034 0.0887 0.074 0.0593 0.0446 0.0299 0.0152,,
0.4 0.1728 0.1536 0.1344 0.1152 0.096 0.0768 0.0576 0.0384 0.0192,,
0.1685 0.0843 0.1685 0.0843 0.1685 0.0843 0.1685 0.0843 0.1685 0.0843,,
